Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Parking,id,Provincia,Región,rango_baths,rango_dormitorios,rango_parqueos
224159,sanbernardo,FreireconEsmeralda,3,2,74.0,2,10637760,Maipo,Metropolitana de Santiago,1-5,1-5,1-5
753462,lascondes,Torremolino/losdominicos,8,4,360.0,1,9184219,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
394460,padrehurtado,Av.LaLaguna/CodominioLasRocas,6,6,199.0,3,7822689,Talagante,Metropolitana de Santiago,6-10,6-10,6-10
381163,nunoa,SargentoLuisNavarrete,4,2,150.0,1,10063727,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
452077,independencia,Maruri,5,3,318.0,4,10058412,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
203878,puentealto,Lasvizcachas,3,3,95.0,1,11652900,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
99626,quintanormal,Casade1PisoenVillaGalaxia,3,1,60.0,0,4711270,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
456509,penalolen,Consistorial,5,5,172.0,3,8328326,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
49813,colina,JoseDonoso/RoqueEsteban,2,1,70.0,0,9833776,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
952908,sanjosedemaipo,LoValdes,6,2,565.0,20,4075445,Cordillera,Metropolitana de Santiago,1-5,6-10,6-10
74097,cerronavia,Elvas&riodouro,9,3,187.0,0,11312672,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
309806,talagante,Condominiolaforesta,4,3,120.0,2,11114371,Talagante,Metropolitana de Santiago,1-5,1-5,1-5
126316,puentealto,nonatocoo-lostoros,3,2,70.0,2,9514953,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
514127,huechuraba,ElCarmen/ElGuanacoNorte,3,3,160.0,3,8230504,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
633795,lascondes,PadreErrázuriz,4,4,120.0,2,5542518,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
301385,islademaipo,IsladeMaipo,3,3,140.0,3,11313070,Talagante,Metropolitana de Santiago,1-5,1-5,1-5
89664,puentealto,PuenteAlto,2,1,66.0,1,11652255,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
498132,lacisterna,Casade4d+2b+saladeestudios+bodegacercaam.Lacisterna,4,2,245.0,0,9235196,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
203878,puentealto,JorgeRossOssa1553,3,3,98.0,0,8842108,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
182441,elbosque,Avenidaloblancoconochacavida,3,3,120.0,3,9391526,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
487534,nunoa,SimónBolívar,3,3,119.0,2,10045270,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
97136,padrehurtado,PasajeLosJeronimos,3,2,110.0,1,8847397,Talagante,Metropolitana de Santiago,1-5,1-5,1-5
597894,providencia,Eliecerparada/jorgematte,4,3,132.0,0,11315126,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
221606,puentealto,CalleCardenalFresno,3,3,90.0,1,10048877,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
183446,laflorida,Pasajeformentera,3,2,70.0,3,10335278,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
576177,colina,sagradoscorazones1200,3,3,140.0,3,11320768,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
394460,penalolen,Josearrieta,5,3,200.0,1,10067135,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
224159,maipu,A10minutosdelaEstacióndeMetroLasParcelasMaipú,5,2,110.0,3,11651372,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
144000,penaflor,Rodolfotheilerbergfield2141,3,2,70.0,2,11651321,Talagante,Metropolitana de Santiago,1-5,1-5,1-5
797783,penalolen,Av.Quilin11.100casa58cond.Lascumbre,5,4,200.0,2,11651220,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
379833,huechuraba,AvenidaElSauce,4,4,140.0,3,8328349,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
221606,penaflor,Av.Miraflores1337casa146,3,4,100.0,2,11651168,Talagante,Metropolitana de Santiago,1-5,1-5,1-5
133250,puentealto,PuenteAlto,3,2,100.0,2,11318227,Cordillera,Metropolitana de Santiago,1-5,1-5,1-5
198161,cerrillos,Casaencondominio3d3b2e,3,3,95.0,2,8344029,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
90859,sanjoaquin,Entrelasindustriasyavenidacentral,3,1,83.0,0,11307300,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
350138,quilicura,PasajeFuentebuena,4,3,147.0,4,6724605,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
443213,lascondes,GarcíaPica/Perseo,2,2,170.0,2,10927086,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
139612,sanbernardo,VillalascavasdelaViñaSanBernardo,4,2,80.0,1,9816783,Maipo,Metropolitana de Santiago,1-5,1-5,1-5
180573,lampa,avenidalamontañasur1449,3,3,75.0,0,10928756,Chacabuco,Metropolitana de Santiago,1-5,1-5,1-5
199253,maipu,Lautaro/ElRenacer,3,3,100.0,1,10202596,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
662603,lascondes,Excelenteoportunidaddeventacasafamiliarenlascondes,5,3,157.0,4,10021707,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
